Epochs,learning_rate
0,0.0001
1,0.0001
2,0.0001
3,0.0001
4,0.0001
5,0.0001
6,0.0001
7,0.0001
8,0.0001
9,0.0001
10,0.0001
11,0.0001
12,0.0001
13,0.0001
14,0.0001
15,0.0001
16,0.0001
17,0.0001
18,0.0001
19,0.0001
20,0.0001
21,0.0001
22,0.0001
23,0.0001
24,0.0001
25,0.0001
26,0.0001
27,0.0001
28,0.0001
29,0.0001
30,0.0001
31,0.0001
32,0.0001
33,0.0001
34,0.0001
35,0.0001
36,0.0001
37,0.0001
38,0.0001
39,0.0001
40,0.0001
41,0.0001
42,0.0001
43,0.0001
44,0.0001
45,0.0001
46,0.0001
47,0.0001
48,0.0001
49,0.0001
50,0.0001
51,0.0001
52,0.0001
53,0.0001
54,0.0001
55,0.0001
56,0.0001
57,0.0001
58,5e-05
59,5e-05
60,5e-05
61,5e-05
62,5e-05
63,5e-05
64,5e-05
65,5e-05
66,5e-05
67,5e-05
68,5e-05
69,5e-05
70,5e-05
71,5e-05
72,5e-05
73,2.5e-05
74,2.5e-05
75,2.5e-05
76,2.5e-05
77,0.0001
78,0.0001
79,0.0001
80,0.0001
81,0.0001
82,0.0001
83,0.0001
84,0.0001
85,0.0001
86,0.0001
87,0.0001
88,0.0001
89,0.0001
90,0.0001
91,0.0001
92,5e-05
93,5e-05
94,5e-05
95,5e-05
96,5e-05
97,5e-05
98,5e-05
99,5e-05
100,5e-05
101,5e-05
102,2.5e-05
103,2.5e-05
104,2.5e-05
105,2.5e-05
106,2.5e-05
107,2.5e-05
108,1.25e-05
109,1.25e-05
110,1.25e-05
111,1.25e-05
112,1.25e-05
113,1.25e-05
114,6.25e-06
115,6.25e-06
116,6.25e-06
117,6.25e-06
118,6.25e-06
119,6.25e-06
120,3.125e-06
121,3.125e-06
122,3.125e-06
123,3.125e-06
124,3.125e-06
125,3.125e-06
126,1.5625e-06
127,1.5625e-06
128,1.5625e-06
129,0.0001
130,0.0001
131,0.0001
132,0.0001
133,0.0001
134,0.0001
135,0.0001
136,0.0001
137,0.0001
138,0.0001
139,0.0001
140,0.0001
141,0.0001
142,0.0001
143,0.0001
144,0.0001
145,0.0001
146,0.0001
147,0.0001
148,0.0001
149,0.0001
150,0.0001
151,0.0001
152,5e-05
153,5e-05
154,5e-05
155,5e-05
156,5e-05
157,5e-05
158,5e-05
